07/18/2017,28,,,
07/19/2017,27,,,
07/20/2017,15,,,
07/21/2017,15,,,
07/22/2017,12,,,
07/23/2017,17,,,
07/24/2017,25,,,
07/25/2017,21,,,
07/26/2017,29,,,
07/27/2017,15,,,
07/28/2017,15,,,
07/29/2017,13,,,
07/30/2017,12,,,
07/31/2017,17,,,
08/01/2017,27,,,
08/02/2017,25,,,
08/03/2017,30,,,
08/04/2017,21,,,
08/05/2017,11,,,
08/06/2017,19,,,
08/07/2017,13,,,
08/08/2017,28,,,
08/09/2017,17,,,
08/10/2017,16,,,
08/11/2017,14,,,
08/12/2017,5,,,
08/13/2017,3,,,
08/14/2017,23,,,
08/15/2017,12,,,
08/16/2017,17,,,
08/17/2017,22,,,
08/18/2017,11,,,
08/19/2017,4,,,
08/20/2017,7,,,
08/21/2017,18,,,
08/22/2017,12,,,
08/23/2017,11,,,
08/24/2017,4,,,
08/25/2017,11,,,
08/26/2017,6,,,
08/27/2017,6,,,
08/28/2017,14,,,
08/29/2017,15,,,
08/30/2017,12,,,
08/31/2017,18,,,
09/01/2017,12,,,
09/02/2017,4,,,
09/03/2017,22,,,
09/04/2017,14,,,
09/05/2017,35,,,
09/06/2017,22,,,
09/07/2017,46,,,
09/08/2017,37,,,
09/09/2017,17,,,
09/10/2017,27,,,
09/11/2017,43,,,
09/12/2017,50,,,
09/13/2017,27,,,
09/14/2017,30,,,
09/15/2017,37,,,
09/16/2017,31,,,
09/17/2017,49,,,
09/18/2017,80,,,
09/19/2017,60,,,
09/20/2017,74,,,
09/21/2017,66,,,
09/22/2017,96,,,
09/23/2017,89,,,
09/24/2017,152,,,
09/25/2017,158,,,
09/26/2017,162,,,
09/27/2017,177,,,
09/28/2017,145,,,
09/29/2017,114,,,
09/30/2017,64,,,
10/01/2017,95,,,
10/02/2017,123,,,
10/03/2017,107,,,
10/04/2017,82,,,
10/05/2017,71,,,
10/06/2017,69,,,
10/07/2017,42,,,
10/08/2017,60,,,
10/09/2017,95,,,
10/10/2017,102,,,
10/11/2017,77,,,
10/12/2017,87,,,
10/13/2017,54,,,
10/14/2017,28,,,
10/15/2017,49,,,
10/16/2017,77,,,
10/17/2017,76,,,
10/18/2017,64,,,
10/19/2017,62,,,
10/20/2017,44,,,
10/21/2017,40,,,
10/22/2017,51,,,
10/23/2017,63,,,
10/24/2017,94,,,
10/25/2017,59,,,
10/26/2017,68,,,
10/27/2017,60,,,
10/28/2017,47,,,
10/29/2017,51,,,
10/30/2017,89,,,
10/31/2017,58,,,
11/01/2017,67,,,
11/02/2017,57,,,
11/03/2017,58,,,
11/04/2017,39,,,
11/05/2017,52,,,
11/06/2017,68,,,
11/07/2017,45,,,
11/08/2017,45,,,
11/09/2017,54,,,
11/10/2017,28,,,
11/11/2017,21,,,
11/12/2017,56,,,
11/13/2017,88,,,
11/14/2017,57,,,
11/15/2017,70,,,
11/16/2017,75,,,
11/17/2017,69,,,
11/18/2017,39,,,
11/19/2017,37,,,
11/20/2017,82,,,
11/21/2017,41,,,
11/22/2017,24,,,
11/23/2017,8,,,
11/24/2017,8,,,
11/25/2017,7,,,
11/26/2017,37,,,
11/27/2017,77,,,
11/28/2017,72,,,
11/29/2017,59,,,
11/30/2017,56,,,
12/01/2017,41,,,
12/02/2017,26,,,
12/03/2017,46,,,
12/04/2017,69,,,
12/05/2017,42,,,
12/06/2017,73,,,
12/07/2017,62,,,
12/08/2017,49,,,
12/09/2017,42,,,
12/10/2017,39,,,
12/11/2017,39,,,
12/12/2017,51,,,
12/13/2017,52,,,
12/14/2017,51,,,
12/15/2017,49,,,
12/16/2017,58,,,
12/17/2017,16,,,
12/18/2017,23,,,
12/19/2017,27,,,
12/20/2017,12,,,
12/21/2017,15,,,
12/22/2017,13,,,
12/23/2017,5,,,
12/24/2017,13,,,
12/25/2017,1,,,
12/26/2017,5,,,
12/27/2017,4,,,
12/28/2017,2,,,
12/29/2017,10,,,
12/30/2017,15,,,
12/31/2017,1,,,
01/01/2018,1,,,
01/02/2018,27,,,
01/03/2018,20,,,
01/04/2018,27,,,
01/05/2018,29,,,
01/06/2018,40,,,
01/07/2018,68,,,
01/08/2018,109,,,
01/09/2018,84,,,
01/10/2018,93,,,
01/11/2018,85,,,
01/12/2018,45,,,
01/13/2018,20,,,
01/14/2018,24,,,
01/15/2018,59,,,
01/16/2018,80,,,
01/17/2018,64,,,
01/18/2018,52,,,
01/19/2018,52,,,
01/20/2018,23,,,
01/21/2018,60,,,
01/22/2018,79,,,
01/23/2018,59,,,
01/24/2018,92,,,
01/25/2018,78,,,
01/26/2018,43,,,
01/27/2018,35,,,
01/28/2018,52,,,
01/29/2018,77,,,
01/30/2018,59,,,
01/31/2018,51,,,
02/01/2018,49,,,
02/02/2018,48,,,
02/03/2018,34,,,
02/04/2018,46,,,
02/05/2018,58,,,
02/06/2018,61,,,
02/07/2018,58,,,
02/08/2018,50,,,
02/09/2018,48,,,
02/10/2018,28,,,
02/11/2018,36,,,
02/12/2018,80,,,
02/13/2018,53,,,
02/14/2018,42,,,
02/16/2018,49,,,
02/15/2018,22,,,
02/17/2018,22,,,
02/18/2018,24,,,
02/19/2018,56,,,
02/20/2018,91,,,
02/21/2018,67,,,
02/22/2018,91,,,
02/23/2018,53,,,
02/24/2018,16,,,
02/25/2018,43,,,
02/26/2018,61,,,
02/27/2018,73,,,
02/28/2018,64,,,
03/01/2018,74,,,
03/02/2018,36,,,
03/03/2018,21,,,
03/04/2018,44,,,
03/05/2018,60,,,
03/06/2018,66,,,
03/07/2018,48,,,
03/08/2018,62,,,
03/09/2018,47,,,
03/10/2018,16,,,
03/11/2018,35,,,
03/12/2018,61,,,
03/13/2018,47,,,
03/14/2018,63,,,
03/15/2018,64,,,
03/16/2018,51,,,
03/17/2018,20,,,
03/18/2018,32,,,
03/19/2018,56,,,
03/20/2018,44,,,
03/21/2018,51,,,
03/22/2018,35,,,
03/23/2018,30,,,
03/24/2018,8,,,
03/25/2018,11,,,
03/26/2018,31,,,
03/27/2018,15,,,
03/28/2018,18,,,
03/29/2018,16,,,
03/30/2018,13,,,
03/31/2018,13,,,
04/01/2018,34,,,
04/02/2018,87,,,
04/03/2018,68,,,
04/04/2018,70,,,
04/05/2018,76,,,
04/06/2018,43,,,
04/07/2018,24,,,
04/08/2018,35,,,
04/09/2018,70,,,
04/10/2018,58,,,
04/11/2018,55,,,
04/12/2018,42,,,
04/13/2018,48,,,
04/14/2018,34,,,
04/15/2018,30,,,
04/16/2018,84,,,
04/17/2018,46,,,
04/18/2018,40,,,
04/19/2018,58,,,
04/20/2018,33,,,
04/21/2018,14,,,
04/22/2018,32,,,
04/23/2018,44,,,
04/24/2018,51,,,
04/25/2018,39,,,
04/26/2018,49,,,
04/27/2018,35,,,
04/28/2018,29,,,
04/29/2018,30,,,
04/30/2018,49,,,
05/01/2018,44,,,
05/02/2018,41,,,
05/03/2018,52,,,
05/04/2018,29,,,
05/05/2018,21,,,
05/06/2018,31,,,
05/07/2018,36,,,
05/08/2018,35,,,
05/09/2018,34,,,
05/10/2018,49,,,
05/11/2018,46,,,
05/12/2018,16,,,
05/13/2018,34,,,
05/14/2018,57,,,
05/15/2018,37,,,
05/16/2018,45,,,
05/17/2018,50,,,
05/18/2018,39,,,
05/19/2018,18,,,
05/20/2018,17,,,
05/21/2018,71,,,
05/22/2018,47,,,
05/23/2018,40,,,
05/24/2018,46,,,
05/25/2018,39,,,
05/26/2018,19,,,
05/27/2018,22,,,
05/28/2018,26,,,
05/29/2018,63,,,
05/30/2018,57,,,
05/31/2018,51,,,
06/01/2018,48,,,
06/02/2018,47,,,
06/03/2018,38,,,
06/04/2018,96,,,
06/05/2018,81,,,
06/06/2018,90,,,
06/07/2018,94,,,
06/08/2018,63,,,
06/09/2018,41,,,
06/10/2018,76,,,
06/11/2018,102,,,
06/12/2018,81,,,
06/13/2018,83,,,
06/14/2018,79,,,
06/15/2018,39,,,
06/16/2018,19,,,
06/17/2018,26,,,
